system_id,fmax_eV_per_A,old_EDIFFG,new_EDIFFG,mode,replaced_existing
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,0.1680256768698076,-0.159624,-0.1680256768698076,relative,True
P_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25,0.1412557345602726,-0.134193,-0.1412557345602726,relative,True
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,0.1763319368149508,-0.167515,-0.1763319368149508,relative,True
P_P137N2_0614bca2-4112-4136-9c58-c168ef04c53b,0.14471181574748,-0.137476,-0.14471181574748,relative,True
P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,0.0399406636132525,-0.037944,-0.0399406636132525,relative,True
P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,0.1330994705774948,-0.126444,-0.1330994705774948,relative,True
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,0.1711235559999703,-0.162567,-0.1711235559999703,relative,True
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,0.2917501894729861,-0.277163,-0.2917501894729861,relative,True
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,0.1371054646202696,-0.13025,-0.1371054646202696,relative,True
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,0.0441667722767082,-0.041958,-0.0441667722767082,relative,True
P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,0.144085018401584,-0.136881,-0.144085018401584,relative,True
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,0.1643929725879756,-0.156173,-0.1643929725879756,relative,True
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,0.1649227843148156,-0.156677,-0.1649227843148156,relative,True
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,0.0303065856322928,-0.028791,-0.0303065856322928,relative,True
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,0.1227920815899339,-0.116652,-0.1227920815899339,relative,True
P_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28,0.1379192360667746,-0.131023,-0.1379192360667746,relative,True
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,0.1519127113194857,-0.144317,-0.1519127113194857,relative,True
P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,0.1638527576125751,-0.15566,-0.1638527576125751,relative,True
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,0.0403945633167212,-0.038375,-0.0403945633167212,relative,True
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,0.1693911407145562,-0.160922,-0.1693911407145562,relative,True
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,0.1272113730240771,-0.120851,-0.1272113730240771,relative,True
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,0.1624402986306276,-0.154318,-0.1624402986306276,relative,True
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,0.0902872888045582,-0.085773,-0.0902872888045582,relative,True
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,0.0954086512999843,-0.090638,-0.0954086512999843,relative,True
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,0.1166955036882651,-0.110861,-0.1166955036882651,relative,True
P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,0.1444719993892418,-0.137248,-0.1444719993892418,relative,True
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,0.0868487177749113,-0.082506,-0.0868487177749113,relative,True
P_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f,0.0293074504335689,-0.027842,-0.0293074504335689,relative,True
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,0.1397667555616503,-0.132778,-0.1397667555616503,relative,True
P_P137N4_589fbb64-0896-4d7b-a7e1-ccdbd331d6b2,0.137889576701519,-0.130995,-0.137889576701519,relative,True
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,0.068937150286978,-0.06549,-0.068937150286978,relative,True
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,0.2316001333080406,-0.22002,-0.2316001333080406,relative,True
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,0.1480449413607638,-0.140643,-0.1480449413607638,relative,True
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,0.1722256302109999,-0.163614,-0.1722256302109999,relative,True
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,0.0581242547168228,-0.055218,-0.0581242547168228,relative,True
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,0.0352467479941369,-0.033484,-0.0352467479941369,relative,True
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,0.2278387264102565,-0.216447,-0.2278387264102565,relative,True
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,0.1420344607363516,-0.134933,-0.1420344607363516,relative,True
P_P141N2_368bbf9c-11a7-4a8d-a6d1-f28cb59c5f7a,0.0696130215495269,-0.066132,-0.0696130215495269,relative,True
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,0.1940437506455131,-0.184342,-0.1940437506455131,relative,True
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,0.1552275435703928,-0.147466,-0.1552275435703928,relative,True
P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,0.1572210511950562,-0.14936,-0.1572210511950562,relative,True
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,0.1303379729181657,-0.123821,-0.1303379729181657,relative,True
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,0.2159797089994717,-0.205181,-0.2159797089994717,relative,True
P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,0.1586520088920547,-0.150719,-0.1586520088920547,relative,True
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,0.145626167681986,-0.138345,-0.145626167681986,relative,True
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,0.0312704163885436,-0.029707,-0.0312704163885436,relative,True
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,0.1378907776718044,-0.130996,-0.1378907776718044,relative,True
P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,0.0409480907302269,-0.038901,-0.0409480907302269,relative,True
P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b,0.0399469507874681,-0.03795,-0.0399469507874681,relative,True
